Title 	 TargetName 	 SourceType 	 BkgTarget 	 EffExp [s] 	 RA 	 DEC 	 ASN 	 DataProblem 	 FileName 
!!!Uranus!!!	URANUS	EXTENDED	False	1798.2240000000004	42.32454963826762	15.910672592613611	jw01248_20240701t054804_pool.csv	False	jw01248-o001_t001_miri
!!!NIRSpec and MIRI IFS of SMGs!!!	SPT-S J031134-5823.5	EXTENDED	False	15098.432	47.88841247680933	-58.39258428090647	jw01264_20240906t055508_pool.csv	False	jw01264-o009_t006_miri
NIRSpec Observations of Centaurus-A: a GTO program proposal	Centaurus A Nucleus	UNKNOWN	False	3596.4480000000003	201.36507731276143	-43.019129393201446	jw01269_20240701t170414_pool.csv	False	jw01269-o002_t001_miri
Thermal Emission Spectroscopy of beta Pictoris' Prototypical Debris Disk	* bet Pic	EXTENDED	False	9091.032	86.82141107913885	-51.06558151432549	jw01294_20240702t195458_pool.csv	False	jw01294-c1002_t001_miri
!!!MIRI EC Protostars Survey!!!	G28S	EXTENDED	False	599.406	280.69341883701406	-4.0709213111970035	jw01290_20240702t102756_pool.csv	False	jw01290-o034_t034_miri
Neptune	NEPTUNE	EXTENDED	False	1165.512	358.0643934315029	-2.1672226917078175	jw01249_20240701t060042_pool.csv	False	jw01249-o001_t001_miri
MIRI Detector Latent Image Characterization	NGC 6552	UNKNOWN	False	1515.171	270.03026210049427	66.6153064347844	jw01039_20240716t213256_pool.csv	False	jw01039-o005_t001_miri
!!!MIRI EC Protoplanetary and Debris Disks Survey!!!	PDS453	POINT	False	1831.524	260.23379238623494	-26.058664917077273	jw01282_20241001t050842_pool.csv	False	jw01282-o022_t026_miri
Investigating Protostellar Accretion Across the Mass Spectrum	HOPS 153	EXTENDED	False	13760.592	84.48757478081598	-7.115613351323207	jw01802_20240706t025209_pool.csv	False	jw01802-o017_t017_miri
NGC 346: Star Formation at Low Metallicity in the Small Magellanic Cloud	Y535	UNKNOWN	False	233.10000000000005	14.772603311510128	-72.17654968637252	jw01227_20240905t085642_pool.csv	False	jw01227-o019_t020_miri
!!!MIRI EC Protoplanetary and Debris Disks Survey!!!	2MASS-J11082650-7715550	POINT	False	3696.348	167.10952771980098	-77.26524776576838	jw01282_20241001t050842_pool.csv	False	jw01282-o051_t054_miri
Sparse Spectral Mapping of NGC 1514	NGC 1514	EXTENDED	False	715.962	62.31309999858872	30.731504118436206	jw01238_20240701t040247_pool.csv	False	jw01238-o018_t021_miri
Physics and Chemistry of PDR Fronts	NGC 7023 NW filament	UNKNOWN	False	2197.8	315.3827427608987	68.17348004233669	jw01192_20240903t100235_pool.csv	False	jw01192-o001_t011_miri
LMC-N79: Study of Most Massive Young Stellar Object Star Forming Region		EXTENDED	False	965.712	72.97208590854589	-69.39129166525511	jw01235_20240905t172010_pool.csv	False	jw01235-o003_t002_miri
MIRI EC Protostars Survey	IRAS 04368+2557	EXTENDED	False	2997.042	69.97479322300292	26.052675819708668	jw01290_20240702t102756_pool.csv	False	jw01290-o012_t013_miri
!!!Physics and Chemistry of PDR Fronts!!!		UNKNOWN	True	432.906	85.21248422688404	-2.35721598544366	jw01192_20240903t100235_pool.csv	False	jw01192-o011_t014_miri
!!!MIRI EC Protoplanetary and Debris Disks Survey!!!	DG-Tau.BG	EXTENDED	True	591.084	66.77956761696205	26.097230223150195	jw01282_20241001t050842_pool.csv	False	jw01282-o004_t001_miri
LMC-N79: Study of Most Massive Young Stellar Object Star Forming Region		UNKNOWN	False	899.1120000000002	73.49422367839641	-69.18511231486194	jw01235_20240905t172010_pool.csv	False	jw01235-o007_t011_miri
!!!MIRI EC Protoplanetary and Debris Disks Survey!!!	2MASS-J16053215-1933159	POINT	False	3696.348	241.38385429858567	-19.55455130133496	jw01282_20241001t050842_pool.csv	False	jw01282-o047_t050_miri
MIRI EC Protostars Survey	SSTc2d J182959.3+011402	EXTENDED	False	599.406	277.49703140338306	1.2336259890785721	jw01290_20240702t102756_pool.csv	False	jw01290-o018_t022_miri
Protostellar Binaries		EXTENDED	False	832.512	51.343232009941424	30.753685314065322	jw01236_20240701t000531_pool.csv	False	jw01236-o002_t002_miri
Protostellar Binaries		EXTENDED	False	266.406	52.15474579878774	31.225374452426003	jw01236_20240701t000531_pool.csv	False	jw01236-o005_t005_miri
!!!Kuiper Belt Science with JWST!!!	TRITON	POINT	False	2997.048	353.40996056506043	-4.1515985873805805	jw01272_20240701t171142_pool.csv	False	jw01272-o009_t001_miri
!!!Spectroscopic characterization of PSO J318!!!	2MASS J21140802-2251358	POINT	False	1431.918	318.5344420181362	-22.860864089954564	jw01275_20240701t184054_pool.csv	False	jw01275-o004_t001_miri
!!!MIRI EC Protoplanetary and Debris Disks Survey!!!	49Cet	POINT	False	3629.747999999999	23.65807457979039	-15.676368365517169	jw01282_20241001t050842_pool.csv	False	jw01282-o034_t037_miri
MIRI EC Protostars Survey	[HKM99] B1-a	EXTENDED	False	599.406	53.31947379131845	31.131952101889112	jw01290_20240702t102756_pool.csv	False	jw01290-o005_t004_miri
Sparse Spectral Mapping of NGC 1514	NGC 1514	UNKNOWN	False	715.962	62.32074968958932	30.77600961354008	jw01238_20240701t040247_pool.csv	False	jw01238-o014_t012_miri
!!!Collimation zone in Proto-Stellar Jets, the Final Frontier.  MIRI MRS and Imager Simultaneous observations!!!		POINT	False	6660.0960000000005	87.94527258698567	2.819347406037423	jw01293_20240906t154341_pool.csv	False	jw01293-o004_t004_miri
!!!Kuiper Belt Science with JWST!!!	TRITON	POINT	False	2997.048	353.41034489971395	-4.153689284122069	jw01272_20240701t171142_pool.csv	False	jw01272-o001_t001_miri
!!!MIRI EC Protoplanetary and Debris Disks Survey!!!	HD135344B.BG	EXTENDED	True	591.084	228.94581470578572	-37.151072576645355	jw01282_20241001t050842_pool.csv	False	jw01282-o054_t003_miri
!!!MIRI EC Protoplanetary and Debris Disks Survey!!!	2MASS-J04390163+2336029	POINT	False	3696.348	69.7568930686763	23.600719654747238	jw01282_20241001t050842_pool.csv	False	jw01282-o044_t047_miri
!!!MIRI EC Protoplanetary and Debris Disks Survey!!!	HV-Tau-C	POINT	False	3696.348	69.64795866265473	26.178115213024867	jw01282_20241001t050842_pool.csv	False	jw01282-o009_t014_miri
MIRI EC Protostars Survey	G31.41+0.31	EXTENDED	False	599.406	281.8929690118479	-1.2127637712110553	jw01290_20240702t102756_pool.csv	False	jw01290-o027_t026_miri
!!!MIRI EC Protoplanetary and Debris Disks Survey!!!	Sz50	POINT	False	3696.348	195.22972426601038	-77.17285101578113	jw01282_20241001t050842_pool.csv	False	jw01282-o024_t028_miri
NIRSpec and MIRI spectroscopy of QSOs - part #3	ULAS J1342+0928	EXTENDED	False	9460.404	205.53367649216946	9.477330901133522	jw01219_20240630t082159_pool.csv	False	jw01219-o009_t002_miri
!!!MIRI EC Protoplanetary and Debris Disks Survey!!!	GW-Lup	POINT	False	3696.348	236.68622217044964	-34.50974845219213	jw01282_20241001t050842_pool.csv	False	jw01282-o029_t032_miri
